pais,valor_us$
Afeganistão,46.0
"Alemanha, República Democrática",2148277.0
Angola,505106.0
Anguilla,0.0
Antilhas Holandesas,120007.0
Antígua e Barbuda,9586.0
Argentina,257817.0
Aruba,2435.0
Arábia Saudita,142.0
Austrália,383533.0
Bahamas,84030.0
Bangladesh,133.0
Barbados,2855.0
Barein,7539.0
Belice,29.0
Benin,20342.0
Bermudas,153.0
Bolívia,323078.0
Brasil,998.0
Bulgária,1610.0
Bélgica,1382940.0
Bósnia-Herzegovina,52.0
Cabo Verde,50363.0
Camarões,7654.0
Canadá,1059120.0
Catar,81626.0
"Cayman, Ilhas",4594.0
Chile,70635.0
China,4903695.0
Chipre,21091.0
Cingapura,85911.0
"Cocos (Keeling), Ilhas",60.0
Colômbia,89276.0
Comores,25.0
Congo,27170.0
"Coreia, Republica Sul",1284.0
Costa Rica,0.0
Costa do Marfim,0.0
Croácia,607.0
Cuba,304612.0
Curaçao,361490.0
Dinamarca,374931.0
Dominica,2857.0
El Salvador,100.0
Emirados Arabes Unidos,139307.0
Equador,8429.0
"Eslovaca, Republica",0.0
Espanha,3805889.0
Estados Unidos,9309051.0
Estônia,81100.0
Filipinas,31731.0
Finlândia,537443.0
França,707581.0
Gana,143512.0
Gibraltar,2953.0
Granada,7914.0
Grécia,29470.0
Guatemala,46947.0
Guiana,108605.0
Guiana Francesa,50.0
Guine Bissau,90.0
Guine Equatorial,80486.0
Haiti,3198849.0
Honduras,30.0
Hong Kong,511459.0
Hungria,4686.0
Ilha de Man,5915.0
Ilhas Virgens,0.0
India,1560.0
Indonésia,36.0
Iraque,0.0
Irlanda,105094.0
Irã,412.0
Itália,168963.0
Jamaica,0.0
Japão,2257163.0
Jordânia,52.0
Letônia,3731.0
Libéria,141130.0
Luxemburgo,334641.0
Líbano,0.0
Macau,6.0
Malavi,6252.0
Malta,74948.0
Malásia,143.0
"Marshall, Ilhas",119291.0
Martinica,31.0
Mauritânia,85.0
Montenegro,131.0
Moçambique,1927.0
México,43856.0
Namíbia,0.0
Nicarágua,24.0
Nigéria,264004.0
Noruega,266695.0
Nova Caledônia,11924.0
Nova Zelândia,82386.0
Omã,670.0
Palau,143.0
Panamá,228807.0
Países Baixos,3012934.0
Peru,138071.0
Pitcairn,22.0
Polônia,553317.0
Porto Rico,0.0
Portugal,578788.0
Quênia,33767.0
Reino Unido,4640935.0
República Dominicana,0.0
Senegal,0.0
Serra Leoa,80452.0
Singapura,49561.0
Suazilândia,24.0
Suriname,50000.0
Suécia,263833.0
Suíça,718710.0
São Cristóvão e Névis,31.0
São Tomé e Príncipe,2357.0
São Vicente e Granadinas,238.0
Tailândia,8259.0
Taiwan (Formosa),278369.0
Tanzânia,0.0
"Tcheca, República",295034.0
Togo,52855.0
Toquelau,10.0
Trinidade Tobago,4320.0
Tunísia,0.0
Turquia,97161.0
Tuvalu,4.0
Uruguai,1674149.0
Vanuatu,31.0
Venezuela,309340.0
Vietnã,13141.0
África do Sul,814.0
Áustria,5432.0
