,pais,ano,quant_kg,valor_us$,tipo
0,Afeganistão,2009,0,0,Vinhos de mesa
1,África do Sul,2009,0,0,Vinhos de mesa
2,"Alemanha, República Democrática",2009,225086,393482,Vinhos de mesa
3,Angola,2009,54786,84235,Vinhos de mesa
4,Anguilla,2009,0,0,Vinhos de mesa
5,Antígua e Barbuda,2009,0,0,Vinhos de mesa
6,Antilhas Holandesas,2009,8235,10651,Vinhos de mesa
7,Arábia Saudita,2009,0,0,Vinhos de mesa
8,Argentina,2009,162,4523,Vinhos de mesa
9,Aruba,2009,0,0,Vinhos de mesa
10,Austrália,2009,1014,9195,Vinhos de mesa
11,Áustria,2009,0,0,Vinhos de mesa
12,Bahamas,2009,0,0,Vinhos de mesa
13,Bangladesh,2009,0,0,Vinhos de mesa
14,Barbados,2009,0,0,Vinhos de mesa
15,Barein,2009,0,0,Vinhos de mesa
16,Bélgica,2009,125962,58764,Vinhos de mesa
17,Belice,2009,0,0,Vinhos de mesa
18,Benin,2009,0,0,Vinhos de mesa
19,Bermudas,2009,0,0,Vinhos de mesa
20,Bolívia,2009,40463,20729,Vinhos de mesa
21,Bósnia-Herzegovina,2009,0,0,Vinhos de mesa
22,Brasil,2009,0,0,Vinhos de mesa
23,Bulgária,2009,0,0,Vinhos de mesa
24,Cabo Verde,2009,0,0,Vinhos de mesa
25,Camarões,2009,0,0,Vinhos de mesa
26,Canadá,2009,15664,73445,Vinhos de mesa
27,Catar,2009,0,0,Vinhos de mesa
28,"Cayman, Ilhas",2009,0,0,Vinhos de mesa
29,Chile,2009,1475,4297,Vinhos de mesa
30,China,2009,1553416,482400,Vinhos de mesa
31,Chipre,2009,0,0,Vinhos de mesa
32,Cingapura,2009,2419,6110,Vinhos de mesa
33,"Cocos (Keeling), Ilhas",2009,0,0,Vinhos de mesa
34,Colômbia,2009,0,0,Vinhos de mesa
35,Comores,2009,0,0,Vinhos de mesa
36,Congo,2009,0,0,Vinhos de mesa
37,"Coreia, Republica Sul",2009,0,0,Vinhos de mesa
