,País de Origem,País de destino,Quantidade em Litros de vinho exportado (1L = 1KG),Valor em US$
0,Brasil,Afeganistão,11,46
1,Brasil,"Alemanha, República Democrática",648115,2148277
2,Brasil,Angola,143147,505106
3,Brasil,Anguilla,0,0
4,Brasil,Antilhas Holandesas,79064,120007
5,Brasil,Antígua e Barbuda,2487,9586
6,Brasil,Argentina,55557,257817
7,Brasil,Aruba,1350,2435
8,Brasil,Arábia Saudita,124,142
9,Brasil,Austrália,58413,383533
10,Brasil,Bahamas,15449,84030
11,Brasil,Bangladesh,12,133
12,Brasil,Barbados,673,2855
13,Brasil,Barein,2054,7539
14,Brasil,Belice,9,29
15,Brasil,Benin,5049,20342
16,Brasil,Bermudas,16,153
17,Brasil,Bolívia,222368,323078
18,Brasil,Brasil,2535,998
19,Brasil,Bulgária,122,1610
20,Brasil,Bélgica,399239,1382940
21,Brasil,Bósnia-Herzegovina,45,52
22,Brasil,Cabo Verde,12625,50363
23,Brasil,Camarões,1749,7654
24,Brasil,Canadá,186081,1059120
25,Brasil,Catar,13344,81626
26,Brasil,"Cayman, Ilhas",863,4594
27,Brasil,Chile,23214,70635
28,Brasil,China,2574686,4903695
29,Brasil,Chipre,7329,21091
30,Brasil,Cingapura,26334,85911
31,Brasil,"Cocos (Keeling), Ilhas",26,60
32,Brasil,Colômbia,44336,89276
33,Brasil,Comores,9,25
34,Brasil,Congo,17460,27170
35,Brasil,"Coreia, Republica Sul",470,1284
36,Brasil,Costa Rica,0,0
37,Brasil,Costa do Marfim,0,0
38,Brasil,Croácia,55,607
39,Brasil,Cuba,271044,304612
40,Brasil,Curaçao,216254,361490
41,Brasil,Dinamarca,79320,374931
42,Brasil,Dominica,1945,2857
43,Brasil,El Salvador,55,100
44,Brasil,Emirados Arabes Unidos,16292,139307
45,Brasil,Equador,6707,8429
46,Brasil,"Eslovaca, Republica",0,0
47,Brasil,Espanha,1990238,3805889
48,Brasil,Estados Unidos,3349299,9309051
49,Brasil,Estônia,25957,81100
50,Brasil,Filipinas,14316,31731
51,Brasil,Finlândia,86768,537443
52,Brasil,França,308740,707581
53,Brasil,Gana,91247,143512
54,Brasil,Gibraltar,792,2953
55,Brasil,Granada,5610,7914
56,Brasil,Grécia,10774,29470
57,Brasil,Guatemala,22300,46947
58,Brasil,Guiana,40284,108605
59,Brasil,Guiana Francesa,112,50
60,Brasil,Guine Bissau,48,90
61,Brasil,Guine Equatorial,20136,80486
62,Brasil,Haiti,2351228,3198849
63,Brasil,Honduras,14,30
64,Brasil,Hong Kong,162957,511459
65,Brasil,Hungria,627,4686
66,Brasil,Ilha de Man,1729,5915
67,Brasil,Ilhas Virgens,0,0
68,Brasil,India,378,1560
69,Brasil,Indonésia,14,36
70,Brasil,Iraque,0,0
71,Brasil,Irlanda,17120,105094
72,Brasil,Irã,184,412
73,Brasil,Itália,28519,168963
74,Brasil,Jamaica,0,0
75,Brasil,Japão,972341,2257163
76,Brasil,Jordânia,12,52
77,Brasil,Letônia,395,3731
78,Brasil,Libéria,66737,141130
79,Brasil,Luxemburgo,53516,334641
80,Brasil,Líbano,0,0
81,Brasil,Macau,7,6
82,Brasil,Malavi,3660,6252
83,Brasil,Malta,20783,74948
84,Brasil,Malásia,63,143
85,Brasil,"Marshall, Ilhas",37770,119291
86,Brasil,Martinica,9,31
87,Brasil,Mauritânia,9,85
88,Brasil,Montenegro,32,131
89,Brasil,Moçambique,383,1927
90,Brasil,México,6329,43856
91,Brasil,Namíbia,0,0
92,Brasil,Nicarágua,24,24
93,Brasil,Nigéria,164881,264004
94,Brasil,Noruega,35216,266695
95,Brasil,Nova Caledônia,7227,11924
96,Brasil,Nova Zelândia,14368,82386
97,Brasil,Omã,194,670
98,Brasil,Palau,45,143
99,Brasil,Panamá,75780,228807
100,Brasil,Paraguai,30803247,42862206
101,Brasil,Países Baixos,897986,3012934
102,Brasil,Peru,71945,138071
103,Brasil,Pitcairn,11,22
104,Brasil,Polônia,134483,553317
105,Brasil,Porto Rico,0,0
106,Brasil,Portugal,384238,578788
107,Brasil,Quênia,8311,33767
108,Brasil,Reino Unido,1150780,4640935
109,Brasil,República Dominicana,0,0
110,Brasil,Rússia,32822141,23151716
111,Brasil,Senegal,0,0
112,Brasil,Serra Leoa,47084,80452
113,Brasil,Singapura,12767,49561
114,Brasil,Suazilândia,10,24
115,Brasil,Suriname,29306,50000
116,Brasil,Suécia,71551,263833
117,Brasil,Suíça,101010,718710
118,Brasil,São Cristóvão e Névis,16,31
119,Brasil,São Tomé e Príncipe,2184,2357
120,Brasil,São Vicente e Granadinas,67,238
121,Brasil,Tailândia,2625,8259
122,Brasil,Taiwan (Formosa),70284,278369
123,Brasil,Tanzânia,0,0
124,Brasil,"Tcheca, República",49799,295034
125,Brasil,Togo,33757,52855
126,Brasil,Toquelau,3,10
127,Brasil,Trinidade Tobago,891,4320
128,Brasil,Tunísia,0,0
129,Brasil,Turquia,29340,97161
130,Brasil,Tuvalu,2,4
131,Brasil,Uruguai,1118688,1674149
132,Brasil,Vanuatu,18,31
133,Brasil,Venezuela,196545,309340
134,Brasil,Vietnã,9871,13141
135,Brasil,África do Sul,147,814
136,Brasil,Áustria,681,5432
